dice_whole,dice_enhancing,dice_core,sen_whole,sen_enhancing,sen_score,spec_whole,spec_enhancing,spec_core
0.9067465108417443,0.8603748397182555,0.8481874100248659,0.9572544992388985,0.9324931465123363,0.9757393268093343,0.9975923416329009,0.9993062027451725,0.998298486574066
0.8188783348696779,0.789805088869172,0.8000930882010705,0.9109086721008166,0.9698790946154927,0.9127837514934289,0.9951964076771503,0.9984458761276416,0.9978081791098388
0.8318866532746311,0.8588792113591173,0.7455067303117278,0.7657232167258814,0.8327359617682198,0.767281688360925,0.99900055749053,0.9997801244636956,0.9989641817069206
0.9062616184353728,0.9108634251526103,0.8903131217928579,0.9464261762733401,0.9119435660423255,0.9221624435959737,0.9977072377649637,0.9998331380064267,0.9996133611949846
0.93814154725519,0.8991446261765864,0.8652247085956492,0.9594845854680383,0.8319976155782223,0.7860022650056625,0.9987967977147106,0.9999367259606977,0.9998465755275021
0.8146383496375893,1,0.26611570247933886,0.7699530516431925,1,0.16246215943491424,0.999859154345195,1.0,0.999993502863053
0.9428732656935741,0.9080912264126184,0.9326917128438988,0.9586354915287307,0.8660751160782448,0.9498672426983484,0.9981520171087337,0.9996262473162308,0.9989041493632396
0.8966631576370357,0.7966937912475172,0.838424917068025,0.8852419393822207,0.796285622798591,0.9207670264008292,0.9989534894921166,0.9996448762031712,0.9989834964887797
0.8730306946446846,0.837285986049461,0.8538828505385334,0.803849010922497,0.7411315671306691,0.7729039916901618,0.9996908068450712,0.9999416398134988,0.9998582238859585
0.6950227193747418,0.23311092577147624,0.4072045152722444,0.622921147585299,0.1522331154684096,0.38057559537661934,0.9983681855206828,0.9999366899109938,0.9992934466645332
0.7220187762167921,0.44165395297891485,0.5930115335326783,0.811572509943121,0.6917892156862745,0.7663737137305128,0.9977015581393306,0.998681814920447,0.9979193422565765
0.9422471332707901,0.9011150522252053,0.8996173281969706,0.9489153001353994,0.8581479546133174,0.926873255752725,0.9987627006930634,0.9997193054731714,0.9988524673871638
0.8803250597576129,0.9065298591422528,0.7761389708292363,0.9348696012142955,0.9479529411764706,0.9688279301745636,0.9962439194011655,0.999657787632975,0.9984787139016097
0.9174707098552722,0.8162194610507619,0.8261158311768613,0.9328467153284672,0.7392418261711476,0.7778592375366569,0.9970176880162609,0.9994534393651184,0.9986143989033212
0.7475480369627927,0.8980303294404741,0.77128867590374,0.6235359368372974,0.8647777628575265,0.6536587088571832,0.9996910913171961,0.9998977909608615,0.9998685346580845
0.9297033337056956,0.8995521851403916,0.9218140403321697,0.9649134430009076,0.8446277745040267,0.9350894699619257,0.9980940084827958,0.999693778723081,0.9989038821473304
0.9424610018471536,0.9016432035406563,0.8679654086278046,0.9293538727581362,0.9689579274926,0.8297594674520791,0.9992318750969847,0.9991979499740844,0.9992236963248364
0.7858073358392249,0.6131779062884204,0.5145884812773237,0.9350864303188354,0.9146855046868632,0.8645217946670924,0.9937418099637864,0.9991181125029271,0.9978988217564203
0.866457374888163,0.8095846165402238,0.7969931198505054,0.8505045885862166,0.7193485950744176,0.7476494023904382,0.9987725015435728,0.9999029509312054,0.9996376461602399
0.5015015015015015,0.7430449069003285,0.7184656306873862,0.3997449068735367,0.7507746790615316,0.6427855711422845,0.9987454296506074,0.9998632820685917,0.9998031633831402
